Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Prediction,source
Fridays Signature Whiskey-Glazed Sliders,Whiskey Glazed,None,None,"Beef burgers, Signature Whiskey-Glaze, cheddar, onions, pickle, spicy aioli &amp; seasoned fries.",Eggs,Contains,uber_eats
Fridays™ Whiskey-Glazed Chicken Slammer Board,Whiskey Glazed,None,None,"Chicken fingers tossed in Whiskey-Glaze on mini New England rolls with spicy aioli and sesame seasoning. Paired with two 2-bone cut Whiskey-Glazed Big Ribs, coleslaw and seasoned fries.","Eggs, Sesame",Contains,uber_eats
Crispy Whiskey Combo,Whiskey Glazed,None,None,Half Rack double-based pork Big Ribs with Whiskey-Glaze and crispy Fried Shrimp served with Whiskey-Glaze on the side. Served with mashed potatoes and lemon-butter broccoli.,"Dairy, Shellfish",Contains,uber_eats
Blazed & Glazed Bundle,Whiskey Glazed,None,None,"Three Chicken Slammers tossed in our New Whiskey-Glaze Blaze sauce, served on mini soft rolls, with spicy aioli and sesame seasoning. Served with fries loaded with queso, mixed cheese, bacon and green onions","Dairy, Eggs, Sesame",Contains,uber_eats
Cajun Shrimp & Chicken Pasta,Pasta  Seafood,None,None,"Sauteed shrimp, chicken, red bell peppers, spicy Cajun Alfredo sauce, Parmesan-Romano, fettuccine and a warm garlic breadstick.","Garlic, Shellfish, Wheat",Contains,uber_eats
Chicken & Broccoli Alfredo Tortelloni,Pasta  Seafood,None,None,"Sauteed chicken, broccoli, Jack cheese in Alfredo sauce, six cheese tortelloni and a warm garlic breadstick.","Dairy, Garlic, Wheat",Contains,uber_eats
Chicken Parmesan Pasta,Pasta  Seafood,None,None,Crispy chicken breast with marinara and cheese on fettuccine Alfredo. Topped with Parmesan crisps. Served with a warm garlic breadstick.,"Dairy, Garlic, Wheat",Contains,uber_eats
Fried Shrimp,Pasta  Seafood,None,None,"12 crispy shrimp served with coleslaw, seasoned fries and cocktail sauce.","Shellfish, Wheat",Contains,uber_eats
Sizzling Chicken & Shrimp,Pasta  Seafood,None,None,"Garlic-marinated chicken breasts with shrimp tossed in marinara. Served over melted cheese with onions, red &amp; green bell peppers and mashed potatoes.","Dairy, Garlic, Shellfish, Wheat",Contains,uber_eats
Fish & Chips,Pasta  Seafood,None,None,"4 pieces of beer-battered golden cod fillets served with seasoned fries, coleslaw and tartar sauce.","Fish, Wheat",Contains,uber_eats
Simply Grilled Salmon,Pasta  Seafood,None,None,Seasoned with hickory-smoked sea salt and topped with Parmesan Butter. Served with lemon-butter broccoli and jasmine rice.,"Dairy, Fish, Wheat",Contains,uber_eats
Dragon-Glaze Salmon,Pasta  Seafood,None,None,Sweet and spicy glazed salmon topped with a fresh mango pico. Served with lemon-butter broccoli and jasmine rice.,"Dairy, Fish, Wheat",Contains,uber_eats
Crispy Whiskey Combo,Pasta  Seafood,None,None,Half Rack double-based pork Big Ribs with Whiskey-Glaze and crispy Fried Shrimp served with Whiskey-Glaze on the side. Served with mashed potatoes and lemon-butter broccoli.,"Dairy, Shellfish, Wheat",Contains,uber_eats
Fridays Big Ribs Apple Butter BBQ,Ribs Steaks  Chicken,None,None,Full-Rack of double-basted pork ribs basted in Apple Butter BBQ served with seasoned fries &amp; coleslaw.,Dairy,Contains,uber_eats
Half Rack of Fridays Big Ribs Apple Butter BBQ,Ribs Steaks  Chicken,None,None,Half-Rack of double-basted pork ribs basted in Apple Butter BBQ served with seasoned fries &amp; coleslaw.,Dairy,Contains,uber_eats
Fridays Signature Whiskey-Glazed Chicken,Ribs Steaks  Chicken,None,None,Signature Whiskey-Glaze over two grilled chicken breasts. Served with mashed potatoes and lemon-butter broccoli.,Dairy,Contains,uber_eats
New York Strip topped with Whiskey-Glaze,Ribs Steaks  Chicken,None,None,12 ounce strip topped with our Signature Whiskey-Glaze. Served with mashed potatoes and lemon-butter broccoli.,Dairy,Contains,uber_eats
Center-cut Sirloin topped with Whiskey Glaze,Ribs Steaks  Chicken,None,None,6 ounces of flavorful center-cut sirloin topped with Signature Whiskey-Glaze.  Served with mashed potatoes and lemon-butter broccoli.,Dairy,Contains,uber_eats
New York Strip,Ribs Steaks  Chicken,None,None,12 ounce strip topped with Parmesan Butter. Served with mashed potatoes and lemon-butter broccoli.,Dairy,Contains,uber_eats
Center-cut Sirloin,Ribs Steaks  Chicken,None,None,6 ounces of flavorful center-cut sirloin topped with Parmesan Butter. Served with mashed potatoes and lemon-butter broccoli.,Dairy,Contains,uber_eats
Crispy Chicken Fingers,Ribs Steaks  Chicken,None,None,"5 crispy fried chicken fingers served with coleslaw, seasoned fries and Honey Mustard dressing.",Mustard,Contains,uber_eats
Sizzling Chicken & Cheese,Ribs Steaks  Chicken,None,None,"Garlic-marinated chicken breasts served over melted cheese with onions, red &amp; green bell peppers and mashed potatoes.","Dairy, Garlic",Contains,uber_eats
Crispy Whiskey Combo,Ribs Steaks  Chicken,None,None,Half Rack double-based pork Big Ribs with Whiskey-Glaze and crispy Fried Shrimp served with Whiskey-Glaze on the side. Served with mashed potatoes and lemon-butter broccoli.,"Dairy, Shellfish",Contains,uber_eats
Sizzling Chicken & Shrimp,Ribs Steaks  Chicken,None,None,"Garlic-marinated chicken breasts with shrimp tossed in marinara. Served over melted cheese with onions, red &amp; green bell peppers and mashed potatoes.","Dairy, Garlic, Shellfish",Contains,uber_eats
Fridays Signature Whiskey-Glazed Burger,Burgers,None,None,"Signature Whiskey-Glaze, bacon, cheddar, lettuce, red onions, tomato and  pickles.",Wheat,Contains,uber_eats
The Beyond Meat Cheeseburger,Burgers,None,None,"Made from plant-based ingredients, this juicy, mouthwatering burger satisfies like beef. Our patty is seasoned and grilled with cheddar, lettuce, tomato, red onions, pickles and FRIDAYS sauce.",Wheat,Contains,uber_eats
Loaded Cheese Fry Burger,Burgers,None,None,"American cheese, lettuce, tomato, red onions, pickles, topped with loaded bacon-cheese fries &amp; poblano queso. Skewered with a loaded potato skin.","Dairy, Wheat",Contains,uber_eats
Philly Cheesesteak Burger,Burgers,None,None,"Our tasty burger loaded &amp; piled high with layers of roast beef, onions, red &amp; green bell peppers, melted cheese and topped with our Philly cheesesteak egg roll.","Dairy, Eggs, Wheat",Contains,uber_eats
Bacon Ranch Chicken Sandwich,Sandwiches  Salads,None,None,"Grilled chicken, Swiss, bacon, avocado, Ranch dressing, lettuce, tomato, pickles &amp; red onions.",Wheat,Contains,uber_eats
Fridays Signature Whiskey-Glazed Chicken Sandwich,Sandwiches  Salads,None,None,"Grilled chicken, Signature Whiskey-Glaze, bacon, cheddar, Cajun-spiced onions, lettuce, tomato, pickles and Whiskey-Glaze mayo.",Wheat,Contains,uber_eats
Southern Fried Chicken Sandwich,Sandwiches  Salads,None,None,"Battered chicken breast, lettuce, tomato, pickles, avocado, cheddar &amp; spicy aioli.","Eggs, Wheat",Contains,uber_eats
Buffalo Chicken Slammer Board,Sandwiches  Salads,None,None,"Chicken fingers tossed in Frank’s RedHot® Buffalo sauce on  mini New England rolls with Ranch, diced celery and crumbled blue cheese. Paired with 4 Boneless Buffalo Wings, coleslaw and seasoned fries.","Celery, Dairy",Contains,uber_eats
Italian Chicken Slammer Board,Sandwiches  Salads,None,None,"Chicken fingers tossed in Garlic Parmesan sauce on mini New England rolls with marinara and Parmesan-Romano cheese.  Paired with 4 Mozzarella Sticks, coleslaw and seasoned fries.","Dairy, Garlic",Contains,uber_eats
Fridays™ Whiskey-Glazed Chicken Slammer Board,Sandwiches  Salads,None,None,"Chicken fingers tossed in Whiskey-Glaze on mini New England rolls with spicy aioli and sesame seasoning. Paired with two 2-bone cut Whiskey-Glazed Big Ribs, coleslaw and seasoned fries.","Eggs, Sesame",Contains,uber_eats
House Salad,Sandwiches  Salads,None,None,"Mixed greens, sliced carrots, red cabbage, tomatoes, cucumber, mixed cheese and Asiago croutons with choice of dressing on the side and a warm garlic breadstick.","Dairy, Garlic",Contains,uber_eats
Caesar Salad,Sandwiches  Salads,None,None,"Romaine, Parmesan-Romano, Caesar dressing, Asiago croutons and Parmesan crisps. Served with a warm garlic breadstick.","Fish, Garlic",Contains,uber_eats
Caesar Salad with Grilled Chicken,Sandwiches  Salads,None,None,"Grilled chicken, romaine, Parmesan-Romano, Caesar dressing, Asiago croutons and Parmesan crisps.",Fish,Contains,uber_eats
Caesar Salad with Salmon,Sandwiches  Salads,None,None,"Grilled salmon, romaine, Parmesan-Romano, Caesar dressing, Asiago croutons and Parmesan crisps.",Fish,Contains,uber_eats
Million Dollar Cobb,Sandwiches  Salads,None,None,"Grilled chicken, mixed greens, sliced carrots, red cabbage, avocado, tomatoes, chopped cage-free egg, bacon, blue cheese, red onions, cucumber, Monterey Jack and cheddar. Ranch dressing on the side.","Dairy, Eggs",Contains,uber_eats
Million Dollar Cobb with Center-Cut Sirloin,Sandwiches  Salads,None,None,"6 ounce center-cut sirloin, mixed greens, sliced carrots, red cabbage, avocado, tomatoes, chopped cage-free egg, bacon, blue cheese, red onions, cucumber, Monterey Jack and cheddar. Ranch dressing on the side.","Dairy, Eggs",Contains,uber_eats
Caesar Salad with Beyond Meat Patty,Sandwiches  Salads,None,None,"Beyond Meat Patty, romaine, Parmesan-Romano, Caesar dressing, Asiago croutons and Parmesan crisps.",Fish,Contains,uber_eats
Caesar Salad with Center-Cut Sirloin,Sandwiches  Salads,None,None,"6 ounce center-cut sirloin, romaine, Parmesan-Romano, Caesar dressing, Asiago croutons and Parmesan crisps.",Fish,Contains,uber_eats
Million Dollar Cobb with Beyond Meat Patty,Sandwiches  Salads,None,None,"Beyond Meat Patty, mixed greens, sliced carrots, red cabbage, avocado, tomatoes, chopped cage-free egg, bacon, blue cheese, red onions, cucumber, Monterey Jack and cheddar. Ranch dressing on the side.","Dairy, Eggs",Contains,uber_eats
Blazed & Glazed Bundle,Sandwiches  Salads,None,None,"Three Chicken Slammers tossed in our New Whiskey-Glaze Blaze sauce, served on mini soft rolls, with spicy aioli and sesame seasoning. Served with fries loaded with queso, mixed cheese, bacon and green onions","Dairy, Eggs, Sesame",Contains,uber_eats
Brownie Obsession,Desserts  Kids,None,None,"A fudge brownie, vanilla bean ice cream, caramel sauce &amp; glazed pecans.",Dairy,Contains,uber_eats
Cinnabon Caramel Pecan Cheesecake,Desserts  Kids,None,None,"Layers of Cinnabon cinnamon cheesecake and vanilla crunch cake topped with signature cream cheese frosting, caramel and glazed pecans. Served with vanilla bean ice cream.","Dairy, Tree Nuts",Contains,uber_eats
Carlo's Bakery Rainbow Cake,Desserts  Kids,None,None,Six layers of rainbow-colored vanilla cake filled high with a sweet vanilla icing and covered with rainbow sprinkles. Served with vanilla bean ice cream.,Dairy,Contains,uber_eats
Oreo® Madness - Fully Stuffed,Desserts  Kids,None,None,"Better than ever! House-made giant OREO® cookies with Cookies &amp; Cream ice cream, coated in red &amp; white sprinkles.  Served with chocolate sauce and a fresh strawberry.",Dairy,Contains,uber_eats
Peanut Butter Fudge Obsession,Desserts  Kids,None,None,"Layered peanut butter fudge, OREO® Cookie crust, topped with M&amp;M’s, peanuts, chocolate shards, vanilla bean ice cream, chocolate sauce drizzle and OREO® Cookie crumbs.","Dairy, Peanuts",Contains,uber_eats
Kid's Cheddar Mac & Cheese,Desserts  Kids,None,None,Elbow macaroni in a creamy cheese sauce. Served with kid's side choice.,"Dairy, Wheat",Contains,uber_eats
Kid's Sliders,Desserts  Kids,None,None,2 USDA Choice beef burgers with American Cheese and pickles on soft mini buns Served with kid's side choice.,Dairy,Contains,uber_eats
Kid's Marinara Pasta,Desserts  Kids,None,None,Fettuccine pasta with choice of butter and Parmesan-Romano or tomato marinara sauce. Served with kid's side choice.,"Dairy, Wheat",Contains,uber_eats
Kid's Buttered Pasta,Desserts  Kids,None,None,Fettuccine pasta with choice of butter and Parmesan-Romano or tomato marinara sauce. Served with kid's side choice.,"Dairy, Wheat",Contains,uber_eats
Kid's Crispy Chicken Fingers,Desserts  Kids,None,None,3 crispy chicken fingers served with Honey Mustard dressing and kid's side choice.,Mustard,Contains,uber_eats
Red Bull - Coconut Berry,Beverages,None,None,Red Bull - Coconut Berry,Coconut,Contains,uber_eats
Cheddar Mac & Cheese,Sides  Soups,None,None,Classic macaroni in creamy cheese sauce and topped with melted sharp cheddar.,"Dairy, Wheat",Contains,uber_eats
Jasmine Rice Pilaf,Sides  Soups,None,None,"Jasmine rice with onions, garlic and diced red peppers",Garlic,Contains,uber_eats
Mashed Potatoes,Sides  Soups,None,None,"Creamy mashed potatoes blended with cheddar cheese, sour cream and real butter.",Dairy,Contains,uber_eats
Lemon-Butter Broccoli,Sides  Soups,None,None,Fresh steamed broccoli with Parmesan Butter and lemon.,Dairy,Contains,uber_eats
Giant Onion Rings,Sides  Soups,None,None,Served with BBQ Ranch.,Onion,Contains,uber_eats
Loaded Mashed Potatoes,Sides  Soups,None,None,"Creamy mashed potatoes blended with cheddar cheese, sour cream and real butter. Topped with more cheese and bacon.",Dairy,Contains,uber_eats
Lemon-Butter Broccoli & Cheese,Sides  Soups,None,None,Fresh steamed broccoli with Parmesan Butter and lemon topped with mixed cheese.,Dairy,Contains,uber_eats
White Cheddar Broccoli Cheese Soup,Sides  Soups,None,None,A creamy blend of white cheddar cheeses with broccoli.,Dairy,Contains,uber_eats
Macaroni & Cheese Party Tray,Family Meals  Platters,None,None,Classic macaroni in creamy cheese sauce and topped with melted sharp cheddar. Serves 2-3.,"Dairy, Wheat",Contains,uber_eats
Lemon Garlic Broccoli Party Tray,Family Meals  Platters,None,None,Fresh steamed broccoli with Parmesan Butter and lemon. Serves 2-3.,"Dairy, Garlic",Contains,uber_eats
Mash Potatoes Party Tray,Family Meals  Platters,None,None,"Creamy mashed potatoes blended with cheddar cheese, sour cream and real butter. Serves 2-3.",Dairy,Contains,uber_eats
Pasta Bundle,Family Meals  Platters,None,None,"Cajun Shrimp and Chicken Pasta, Chicken Parmesan Pasta, Garlic Breadsticks, choice of House or Caesar Salad and choice of half-gallon beverage. Serves 4-6.","Garlic, Shellfish, Wheat",Contains,uber_eats
Grilled Chicken & Ribs Bundle,Family Meals  Platters,None,None,"2 racks of Apple Butter BBQ ribs, 6 Grilled Chicken Breasts, choice of House or Caesar Salad, choice of two sides and choice of half-gallon beverage. Serves 4-6.",Dairy,Contains,uber_eats
Bones Bundle,Family Meals  Platters,None,None,"Whiskey-Glazed FRIDAYS BIG Ribs, Apple Butter BBQ Traditional Wings, choice of House or Caesar Salad, choice of two sides and choice of half-gallon beverage. Serves 4-6.",Dairy,Contains,uber_eats
Million Dollar Cobb With Chicken Party Tray,Family Meals  Platters,None,None,"Grilled chicken, mixed greens, carrots, red cabbage, avocado, tomatoes, chopped cage-free egg, bacon, blue cheese, red onions, cucumber, Jack cheese and cheddar. Ranch dressing on the side and choice of half-gallon beverage. Serves 4-6.","Dairy, Eggs",Contains,uber_eats
Caesar Salad With Chicken Party Tray,Family Meals  Platters,None,None,"Grilled chicken, romaine, Parmesan-Romano, Caesar dressing, croutons, Parmesan crisps and choice of half-gallon beverage. Serves 4-6.",Fish,Contains,uber_eats
Fried Chicken & Shrimp Bundle,Family Meals  Platters,None,None,"Crispy Chicken Fingers, Fried Shrimp, Seasoned Fries, choice of House or Caesar Salad and choice of half-gallon beverage. Serves 4-6.",Shellfish,Contains,uber_eats
Fettuccine & Tortelloni Pasta Bundle,Family Meals  Platters,None,None,"Cajun Shrimp &amp; Chicken Pasta, Chicken &amp; Broccoli Alfredo Tortelloni, Garlic Breadsticks, choice of House or Caesar Salad and choice of half-gallon beverage. Serves 4-6.","Garlic, Shellfish, Wheat",Contains,uber_eats
Whiskey Glaze Sliders Party Tray,Family Meals  Platters,None,None,"Beef burgers, Signature Whiskey-Glaze, cheddar, onions, spicy aioli and choice of half-gallon beverage. 8 sliders. Serves 4-6.",Eggs,Contains,uber_eats
The Bones Platter - Small,Family Meals  Platters,None,None,"Whiskey Glazed Ribs, Apple Butter Ribs &amp; Traditional wings with Choice of Sauce",Dairy,Contains,uber_eats
The Bones Platter - Large,Family Meals  Platters,None,None,"Whiskey Glazed Ribs, Apple Butter Ribs &amp; Traditional wings with Choice of Sauce",Dairy,Contains,uber_eats
Whiskey Glaze & BBQ Ribs Platter - Small,Family Meals  Platters,None,None,"Slow-cooked, fall-off-the-bone tender big back pork ribs. Combination of Whiskey-Glazed and Apple Butter BBQ.",Dairy,Contains,uber_eats
Whiskey Glaze & BBQ Ribs Platter - Large,Family Meals  Platters,None,None,"Slow-cooked, fall-off-the-bone tender big back pork ribs. Combination of Whiskey-Glazed and Apple Butter BBQ.",Dairy,Contains,uber_eats
Spinach & Artichoke Dip Platter,Family Meals  Platters,None,None,"Spinach, artichokes, Romano, sauteed onions &amp; red bell peppers. Topped with Parmesan bread crumbs. Served with tortilla chips &amp; salsa. Feeds 4-6",Wheat,Contains,uber_eats
Fried Shrimp Party Tray,Family Meals  Platters,None,None,"36 crispy, golden brown shrimp.",Shellfish,Contains,uber_eats
Garlic Breadsticks Party Tray,Family Meals  Platters,None,None,"12 crisp, golden brown garlic breadsticks.",Garlic,Contains,uber_eats
Million Dollar Cobb Party Tray,Family Meals  Platters,None,None,"Mixed greens, carrots, red cabbage, avocado, tomatoes, chopped cage-free egg, bacon, blue cheese, red onions, cucumber, Jack cheese, cheddar &amp; Ranch dressing on the side.","Dairy, Eggs",Contains,uber_eats
House Salad W/ Chicken Party Tray,Family Meals  Platters,None,None,"Grilled chicken, mixed greens, carrots, red cabbage, tomatoes, red onions, cucumber, mixed cheese, croutons &amp; choice of dressing on the side.",Dairy,Contains,uber_eats
Apple Butter BBQ Ribs Party Tray,Family Meals  Platters,None,None,Double-basted pork ribs with Apple Butter BBQ sauce.,Dairy,Contains,uber_eats
Chicken Parmesan Pasta Party Tray,Family Meals  Platters,None,None,"Crispy chicken breast, marinara, cheese, fettuccine Alfredo and Parmesan crisps.","Dairy, Wheat",Contains,uber_eats
Chicken & Broccoli Alfredo Tortelloni Party Tray,Family Meals  Platters,None,None,"Sauted chicken, broccoli, Jack cheese in Alfredo sauce and six cheese tortelloni.",Dairy,Contains,uber_eats
Cajun Shrimp & Chicken Pasta Party Tray,Family Meals  Platters,None,None,"Sauteed shrimp, chicken, red bell peppers, spicy Cajun Alfredo sauce, Parmesan-Romano and fettuccine.","Shellfish, Wheat",Contains,uber_eats
Whiskey-Glazed Sesame Chicken Strips - Platter,Family Meals  Platters,None,None,Panko-crusted chicken breast strips tossed in our Signature Whiskey-Glaze and sesame seeds.,Sesame,Contains,uber_eats
Mega Onion Rings,Family Meals  Platters,None,None,"Shareable portion of our crispy, golden onion rings.",Onion,Contains,uber_eats
The Shredder® Vanilla,Picked for you,None,None,"Gladiator® Protein, Protein Blend, Diet Down Enhancer

230 - 470 Calories 

Allergens:   Gladiator® Protein (milk, egg), Protein Blend (milk, egg)","Dairy, Eggs",Contains,uber_eats
The Activator® Recovery Coffee,Picked for you,None,None,"Gladiator® Protein, Coconut Water, Cold Brew Coffee, Nonfat Milk, Bananas, Protein Blend

230 - 450 Calories 

Allergens:  Gladiator® Protein (milk, egg), Coconut Water (tree nuts-coconut), Nonfat Milk (milk), Protein Blend (milk, egg)
Contains naturally derived caffeine","Coconut, Dairy, Eggs",Contains,uber_eats
Pure Recharge® Pineapple,Picked for you,None,None,"Bananas, Pineapples, Pure Recharge® Enhancer, Apple Pineapple Juice Blend, Nutrient Blend

370 - 740 Calories 

Allergens:   Nutrient Blend (milk)
Contains naturally derived caffeine",Dairy,Contains,uber_eats
Berry Punch®,Picked for you,None,None,"Strawberries*, Raspberries, Wild Blueberries, Apple Blueberry Juice Blend, Electrolyte Blend
*contains added sugar

270 - 530 Calories 

Allergens:    Electrolyte Blend (tree nuts-coconut)",Coconut,Contains,uber_eats
Famous Star with Cheese,Burgers,None,None,,Dairy,Contains,uber_eats
Super Star with Cheese,Burgers,None,None,,Dairy,Contains,uber_eats
Mushroom Burger (1/3),Burgers,None,None,,Wheat,Contains,uber_eats
Frico Burger (1/3),Burgers,None,None,,Wheat,Contains,uber_eats
Bacon Cheese Burger (1/3),Burgers,None,None,,"Dairy, Wheat",Contains,uber_eats
Monster Burger,Burgers,None,None,,Wheat,Contains,uber_eats
Onion Rings,Burgers,None,None,,Onion,Contains,uber_eats
Bacon Egg Cheese Biscuit,Breakfast,None,None,,"Dairy, Eggs",Contains,uber_eats
Sausage Egg Biscuit,Breakfast,None,None,,Eggs,Contains,uber_eats
Frisco Ham Egg Cheese,Breakfast,None,None,,"Dairy, Eggs",Contains,uber_eats
Chocolate Milk,Side,None,None,,Dairy,Contains,uber_eats
TAILGATE PACKAGE,FAMILY MEALS w/ BEV,None,None,"3 slabs of our world-famous ribs, two quarts of sides, a loaf of white bread, a quart of our signature BBQ sauce a loaf of white bread. Top it off with your choice of a 2-liter Coca-Cola beverage, or a gallon of our famous iced tea.",Wheat,Contains,uber_eats
Subway Club Footlong Regular Sub,Picked for you,None,None,"You’ve never seen a club this good! Oven-Roasted Turkey, Black Forest Ham, and Choice Angus Roast Beef are stacked high with fresh veggies on Hearty Multigrain Bread.",Wheat,Contains,uber_eats
Baja Steak & Jack,Picked for you,None,None,"This is a wrap with serious southwestern flavor: Steak, Pepper Jack Cheese, green peppers, red onions, and Baja Chipotle Sauce, rolled up in a hearty Tomato Basil Wrap.",Dairy,Contains,uber_eats
Spicy Italian Footlong Regular Sub,Picked for you,None,None,"Our Spicy Italian sandwich is a combo of pepperoni and Genoa salami. Pile on cheese, crunchy veggies, and finish it with your favorite sauce. Or don't. Your call. ","Dairy, Wheat",Contains,uber_eats
Roast Beef Footlong Regular Sub,Picked for you,None,None,"Choice Angus Roast Beef, Hearty Multigrain Bread, and plenty of fresh veggies make this lunchtime classic one to remember.",Wheat,Contains,uber_eats
Oven Roasted Chicken  6 Inch Regular Sub,Sandwiches,None,None,"Our Oven Roasted Chicken sandwich is freshly prepared with savory chicken and your choice of crisp veggies, served warm on our freshly baked Hearty Multigrain bread.",Wheat,Contains,uber_eats
Oven Roasted Chicken  Footlong Regular Sub,Sandwiches,None,None,"Our Oven Roasted Chicken sandwich is freshly prepared with savory chicken and your choice of crisp veggies, served warm on our freshly baked Hearty Multigrain bread.",Wheat,Contains,uber_eats
Oven Roasted Chicken  Footlong Pro (Double Protein),Sandwiches,None,None,"Our Oven Roasted Chicken sandwich is freshly prepared with savory chicken and your choice of crisp veggies, served warm on our freshly baked Hearty Multigrain bread.",Wheat,Contains,uber_eats
Oven Roasted Chicken,Salads,None,None,"The Oven Roasted Chicken salad has warm, savory chicken tossed together with crisp greens and any veggies you want.  Your favorite sandwich, just in salad form. ",Wheat,Contains,uber_eats
Chicken Tandoori with Bone,Picked for you,None,None,Chicken marinated in yogurt and mild spices with its own natural juices and roasted in tandoor oven. Served in an Indian iron skillet with rice.,Dairy,Contains,uber_eats
Chicken Makhani,Picked for you,None,None,"Tandoori baked chicken cooked in exotic spices with chopped tomatoes and butter. Served with rice, mint, and chutneys.",Dairy,Contains,uber_eats
Lamb Korma,Picked for you,None,None,"A rare delicacy from northwest India. Juicy pieces of lamb especially prepared with yogurt, onions, tomatoes, and mild spices.

",Dairy,Contains,uber_eats
 Chilly Pakora,Appetizers,None,None,Fresh chilly dipped in batter and deep fried.,Wheat,Contains,uber_eats
Onion Bhaji,Appetizers,None,None,Onions and herbs mixed with gram flour and deep fried.,"Legumes, Onion",Contains,uber_eats
Paneer Pakora,Appetizers,None,None,With cheese fritters.,Dairy,Contains,uber_eats
 Shrimp Pakora,Appetizers,None,None,Shrimp marinated in exotic spices and batter fried.,"Shellfish, Wheat",Contains,uber_eats
Tandoori Assorted Appetizers,Appetizers,None,None,"Seekh kabab, shrimp tandoor, murgh tikka, and kalmi kabab.",Shellfish,Contains,uber_eats
Gobi Manchurian,Appetizers,None,None,Cauliflower florets batter fried and coated with chili soy sauce.,"Soybeans, Wheat",Contains,uber_eats
Chicken Manchurian,Appetizers,None,None,Chicken florets batter fried and coated with chili soy sauce.,"Soybeans, Wheat",Contains,uber_eats
Papadum,Condiments,None,None,Thin and crispy lentil bread.,"Legumes, Wheat",Contains,uber_eats
Raita,Condiments,None,None,Grated cucumber in yogurt with chopped mint leaves.,Dairy,Contains,uber_eats
Mulligatwany Soup,Soups,None,None,Delicately spiced lentil soup.,Legumes,Contains,uber_eats
Coconut Soup,Soups,None,None,Mildly sweet soup of milk and coconut.,"Coconut, Dairy",Contains,uber_eats
 Hyderbadi Murgh Shorba,Soups,None,None,"Indian soup made with chicken and potatoes, flavored with coconut, and lemon.",Coconut,Contains,uber_eats
Naan,Roti Char,None,None,"The Punjabi teardrop shaped white bread is baked in huge flat ovals by slapping it quickly on the sides of the tandoori oven. Served with rice, mint, and onion chutneys. Indian breads.


","Onion, Wheat",Contains,uber_eats
Chapati,Roti Char,None,None,"Indian style flat with whole wheat bread toasted over open flames. Served with rice, mint, and onion chutneys. Indian breads.
","Onion, Wheat",Contains,uber_eats
Tandoori Roti,Roti Char,None,None,"Indian style whole wheat bread. Served with rice, mint, and onion chutneys. Indian breads.
","Onion, Wheat",Contains,uber_eats
Tandoori Pratha,Roti Char,None,None,"The common unleavened whole wheat flour bread. Served with rice, mint, and onion chutneys. Indian breads.
","Onion, Wheat",Contains,uber_eats
Garlic Chili Naan,Roti Char,None,None,"Served with rice, mint, and onion chunteys. Indian breads.","Garlic, Onion",Contains,uber_eats
Garlic Naan,Roti Char,None,None,"Served with rice, mint, and onion chunteys. Indian breads.","Garlic, Onion",Contains,uber_eats
Gobhi Kulcha,Roti Char,None,None,"Mild. Scrumptious unleavened bread is filled with minced cauliflower. Served with rice, mint, and onion chutneys. Indian breads.
","Onion, Wheat",Contains,uber_eats
Onion Paneer,Roti Char,None,None,"Mild. Scrumptious unleavened bread is filled with onion and cheese. Served with rice, mint, and onion chutneys. Indian breads.
","Dairy, Onion, Wheat",Contains,uber_eats
Aloo Paratha,Roti Char,None,None,"Mild. Scrumptious unleavened bread is filled mildly spiced potatoes. Served with rice, mint, and onion chutneys. Indian breads.
","Onion, Wheat",Contains,uber_eats
 Aloo Naan,Roti Char,None,None,"Mild. Scrumptious unleavened bread is filled with onion. Served with rice, mint, and onion chutneys. Indian breads.
","Onion, Wheat",Contains,uber_eats
Keema Naan,Roti Char,None,None,"Stuffed with ground lamb and spices. Served with rice, mint, and onion chutneys. Indian breads.
",Onion,Contains,uber_eats
Chili Naan,Roti Char,None,None,"Stuffed with coconut, raisins, and cashews. Indian breads.

",Coconut,Contains,uber_eats
Sag Paneer,Vegetarian Dishes,None,None,"Spinach and Indian cheese with fresh ginger garlic and spices. Served with rice, mint, and onion chutneys.


","Dairy, Garlic, Onion",Contains,uber_eats
Dal Black,Vegetarian Dishes,None,None,"Assorted lentils sauteed with ginger, onion, garlic, and tomato. Served with rice, mint, and onion chutneys.
","Garlic, Onion",Contains,uber_eats
Dal Yellow,Vegetarian Dishes,None,None,"Assorted lentils sauteed with ginger, onion, garlic, and tomato. Served with rice, mint, and onion chutneys.
","Garlic, Onion",Contains,uber_eats
Vegetable Vindaloo,Vegetarian Dishes,None,None,"Garden mixed vegetables cooked in a tangy or hot curry and mild sauce. Served with rice, mint, and onion chutneys.


",Onion,Contains,uber_eats
Vegetable Curry,Vegetarian Dishes,None,None,"Garden mixed vegetables cooked in a tangy or hot curry and mild sauce. Served with rice, mint, and onion chutneys.
",Onion,Contains,uber_eats
Sag Aloo,Vegetarian Dishes,None,None,"Potatoes cooked in spinach and flavorful spices. Served with rice, mint, and onion chutneys.
",Onion,Contains,uber_eats
Allo Chhole,Vegetarian Dishes,None,None,"Diced potatoes cooked in the Punjabi style. Served with rice, mint, and onion chutneys.
",Onion,Contains,uber_eats
Chana Masala,Vegetarian Dishes,None,None,"Chick peas cooked in the Punjabi style. Served with rice, mint, and onion chutneys.
",Onion,Contains,uber_eats
